"Geo Location","ST","Latitude","Longitude","CRF_Link"
"MOUNT CLEMENS","MI",42.59,-82.87,0
"N VERSAILLES","PA",40.37,-79.80,0
"NEW HAVEN","CT",41.30,-72.92,0
"NEW ORLEANS","LA",29.95,-90.07,0
"NEW ORLEANS INTL","LA",29.98,-90.25,0
"NEW RIVER MCAS","NC",34.71,-77.44,0
"NEWBURGH","NY",41.50,-74.01,0
"NEWPORT NEWS","VA",37.08,-76.47,0
"NORFOLK","VA",36.85,-76.28,0
"OKINAWA","JP",26.21,127.68,0
"OKLAHOMA CITY","OK",35.46,-97.51,0
"OMAHA","NE",41.25,-95.99,0
"ORLANDO","FL",28.53,-81.37,0
"PASADENA","CA",34.14,-118.14,0
"PENSACLOA","FL",30.42,-87.21,0
"PEORIA","IL",40.69,-89.58,0
"PERRYSBURG","OH",41.55,-83.62,0
"PERU","IN",40.75,-86.06,0
"CAMP PARKS","CA",33.74,-118.10,0
"ELGIN AFB","FL",30.43,-84.28,0
"LACKLAND AFB","TX",31.54,-97.14,0
"MCGUIRE-DIX-LAKEHURST (JB)","NJ",40.26,-74.81,0
"SFT SILL","OK",36.05,-95.79,0
"FARMINGDALE","NY",40.73,-73.44,0
"PHILADELPHIA","PA",39.95,-75.16,0
"PHOENIX","AZ",33.44,-112.07,0
"PICO RIVERA","CA",33.98,-118.09,0
"PLAINVILLE","CT",41.67,-72.85,0
"PORT HUENEME","CA",34.14,-119.19,0
"PORTLAND","OR",45.52,-122.67,0
"PROVIDENCE","RI",41.82,-71.41,0
"QUANTICO","VA",38.52,-77.28,0
"RALEIGH","NC",35.77,-78.63,0
"RED BANK","NJ",40.34,-74.06,0
"RENO","NV",39.52,-119.81,0
"RICHMOND","VA",37.54,-77.43,0
"RIVERTON","UT",40.52,-111.93,0
"ROANOKE","VA",37.27,-79.94,0
"ROCHESTER","NY",43.16,-77.61,0
"ROCK ISLAND","IL",41.50,-90.57,0
"ROME","GA",34.25,-85.16,0
"ROOSEVELT ROADS","PR",18.23,-65.62,0
"SACRAMENTO","CA",38.58,-121.49,0
"SAGINAW","MI",43.42,-83.95,0
"SALT LAKE CITY","UT",40.76,-111.89,0
"SAN ANTONIO","TX",29.42,-98.49,0
"SAN BRUNO","CA",37.63,-122.41,0
"SAN DIEGO","CA",32.71,-117.15,1
"SAN JOSE","CA",37.33,-121.89,0
"SAVANNAH","GA",32.08,-81.09,0
"SEAL BEACH","CA",33.74,-118.10,0
"SELFRIDGE","MI",42.60,-82.81,0
"SMYRNA, GA","GA",33.88,-84.51,0
"SMYRNA, TN","TN",35.98,-86.51,0
"SOUTH BEND","IN",41.68,-86.25,0
"SPOKANE","WA",47.65,-117.42,0
"SPRINGFIELD","MO",37.20,-93.29,0
"SYRACUSE","NY",43.04,-76.14,0
"TALLAHASSEE","FL",30.43,-84.28,0
"TAMPA","FL",27.95,-82.45,0
"TERRE HAUTE","IN",39.46,-87.41,0
"TEXARKANA","TX",33.42,-94.04,0
"TOPEKA","KS",39.05,-95.68,0
"TUCSON","AZ",32.22,-110.92,0
"TWENTYNINE PALMS","CA",34.13,-116.05,0
"VERDAL","NO",63.75,11.83,0
"VIENNA","OH",41.23,-80.66,0
"VIRGINIA BEACH","VA",36.85,-75.97,0
"W PALM BEACH","FL",26.71,-80.05,0
"WACO","TX",31.54,-97.14,0
"WAHPETON","ND",46.26,-96.60,0
"WASHINGTON","DC",38.89,-77.03,0
"WATERLOO","IA",42.49,-92.34,0
"WEST TRENTON","NJ",40.26,-74.81,0
"WICHITA","KS",37.68,-97.33,0
"WILLOW GROVE","PA",40.14,-75.11,0
"WILMINGTON","DE",39.74,-75.54,0
"WYOMING","PA",41.31,-75.83,0
"YAKIMA","WA",46.60,-120.50,0
"YUMA","AZ",32.69,-114.62,0
"ABERDEEN","MD",39.50,-76.16,0
"ABILENE","TX",32.44,-99.73,0
"AKRON","OH",41.08,-81.51,0
"ALAMEDA","CA",37.76,-122.24,0
"ALBANY, GA","GA",31.57,-84.15,0
"ALBANY, NY","NY",42.65,-73.75,0
"ALBUQUERQUE","NM",35.08,-106.65,0
"ALLENTOWN","PA",40.60,-75.49,0
"AMARILLO","TX",35.22,-101.83,0
"AMITYVILLE","NY",40.67,-73.41,0
"ANACOSTIA","DC",38.86,-76.98,0
"ANCHORAGE","AK",61.21,-149.89,0
"ANDREWS AFB","MD",38.81,-76.87,0
"AUGUSTA","GA",33.47,-82.00,0
"AURORA","CO",39.72,-104.83,0
"AUSTIN","TX",30.26,-97.74,0
